,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
75,อยู่ในสาย,"Three Man Down",13116,https://open.spotify.com/track/1h8WJ1UYHWAwRcXCeBZwiI
76,"Need To Know","Doja Cat",12667,https://open.spotify.com/track/10hcDov7xmcRviA8jLwEaI
77,"Strawberries & Cigarettes","Troye Sivan",12516,https://open.spotify.com/track/3afkJSKX0EAMsJXTZnDXXJ
78,34+35,"Ariana Grande",12321,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
79,จม,"Num KALA",12230,https://open.spotify.com/track/3armUxyNuJmexkQRA3hZSC
80,"Best Part (feat. Daniel Caesar)",H.E.R.,12225,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
81,"Levitating (feat. DaBaby)","Dua Lipa",12202,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
82,Paradise,EXO,12170,https://open.spotify.com/track/0KDCkxCsEBoSWj5fsyuvWq
83,"ถ้าเธอได้รู้ (The Secret ∆)",Safeplanet,12021,https://open.spotify.com/track/2Dvx3VrvPu8rD13LAua1i7
84,"Here's Your Perfect","Jamie Miller",11858,https://open.spotify.com/track/2aTKrdenCq5qBOoJPFdn4P
85,เวลาเธอยิ้ม,Polycat,11759,https://open.spotify.com/track/06DPpk0hUJEgpzl5cuWNI6
86,Lost,"Maroon 5",11525,https://open.spotify.com/track/18XlJEroUwFo0tLZxscgXE
87,Roses,"Finn Askew",11344,https://open.spotify.com/track/7h5JV2j5wEwMP2hQE12Nk4
88,"0X1=LOVESONG (I Know I Love you)","TOMORROW X TOGETHER",11266,https://open.spotify.com/track/3yTkoTuiKRGL2VAlQd7xsC
89,หรือฉันคิดไปเอง,"Zom Marie",11208,https://open.spotify.com/track/3EMXuZ7n0lgQSNSsVk5d3n
90,คนเราจะแอบรักใครสักคนได้นานแค่ไหน,Rooftop,11063,https://open.spotify.com/track/3IPtnAYykrWz9EPjPWx2D7
91,"In the morning",ITZY,11057,https://open.spotify.com/track/2QdH0rKlV3d9Y6lWzcnlBH
92,Wish,Blackbeans,11011,https://open.spotify.com/track/1ecud9LC1clhcuhjLIyyMB
93,เลือกคนที่เขารักเรา,"Three Man Down",10966,https://open.spotify.com/track/62cOB2rHLifRe73H85MhNz
94,"A Rocket to the Moon","Gavin D",10763,https://open.spotify.com/track/4Tp1SRCTJ6LO8XA3i9vuAT
95,positions,"Ariana Grande",10543,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
96,"Green Tea & Honey","Dane Amar",10539,https://open.spotify.com/track/4s5LsmjqGgpwftaPqgONLC
